应用名称,上架平台,应用类型,上架时间,开发者,备注,访问链接
梦境灵感,手机和平板,工具,2025/09/08,广州光芸科技有限公司,09/16新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.yun.shejilinggan&channelId=SHARE&source=appshare
随身翻译官,手机(平板可下载),教育,2025/09/08,福州亿游联盟网络科技有限公司,09/16新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ssfyg.app.huawei&channelId=SHARE&source=appshare
萌宠日常,手机和平板,生活服务,2025/09/08,南京鸢尾蓝网络科技有限公司,09/14新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.iris.pet&channelId=SHARE&source=appshare
第四按键,手机(平板可下载),工具,2025/09/08,湖北捷畅同辉科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jiechang.xjcfourkeyhos&channelId=SHARE&source=appshare
美图涂鸦,手机(平板可下载),拍摄美化,2025/09/08,张二龙,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.porsche.image.edit&channelId=SHARE&source=appshare
二胡调音神器,手机和平板,工具,2025/09/08,成都神罗天征科技有限公司,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sltz.tuner.erhu.hm&channelId=SHARE&source=appshare
宝宝快成长,手机(平板可下载),工具,2025/09/08,王超帅,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=harmony_1.bao_bao_cheng_zhang_ji_lu.com&channelId=SHARE&source=appshare
掌上衣柜,手机(平板可下载),生活服务,2025/09/08,王超帅,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=harmony_1.dian_zi_yi_gui.myapplication&channelId=SHARE&source=appshare
阳光e高考志愿,手机(平板可下载),教育,2025/09/08,南京奇奥拉信息技术有限公司,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qiaola.gaokaohm&channelId=SHARE&source=appshare
龙岗智慧办公,手机(平板可下载),工具,2025/09/08,深圳市永兴元科技股份有限公司,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.longrise.lgoa&channelId=SHARE&source=appshare
日语词汇学习N,手机(平板可下载),教育,2025/09/08,成都七界信息科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.app.jawordstudy.zom&channelId=SHARE&source=appshare
专注便便,手机(平板可下载),运动健康,2025/09/08,尹春德,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.abouttime.bianbian&channelId=SHARE&source=appshare
四级闪电单词,手机(平板可下载),教育,2025/09/08,长沙集合盈智信息科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.cshmx.fourword&channelId=SHARE&source=appshare
中信银行收款台,手机(平板可下载),金融理财,2025/09/08,中信银行股份有限公司,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.citic.pay&channelId=SHARE&source=appshare
门禁卡钥匙复制,手机(平板可下载),工具,2025/09/08,济南夏青软件科技有限公司,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.bsqii.xq.hm&channelId=SHARE&source=appshare
执法资格应试备考宝典,手机(平板可下载),教育,2025/09/08,长沙聚优教育咨询有限公司,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qxhms.lawenforcejy&channelId=SHARE&source=appshare
焚香纪,手机(平板可下载),工具,2025/09/08,天津乐付数据有限公司,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.lufushuju.fenxiangji&channelId=SHARE&source=appshare
超级画笔,手机(平板可下载),工具,2025/09/08,惠州市优奕科技有限公司,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.youyi.superbrushhos&channelId=SHARE&source=appshare
3D模型视界,手机(平板可下载),工具,2025/09/08,深圳莓创技术科技有限公司,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.prover.simulator&channelId=SHARE&source=appshare
HTML前端手册,手机(平板可下载),工具,2025/09/08,陈银,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.eachfofo.htmlmanual&channelId=SHARE&source=appshare
房东宝,手机(平板可下载),工具,2025/09/08,广州洋海网络科技有限公司,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yanghaihm.fangdong&channelId=SHARE&source=appshare
在哪儿,手机(平板可下载),生活服务,2025/09/08,王超帅,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=harmony_1.mi_wu.myapplication&channelId=SHARE&source=appshare
摩斯摩斯,手机(平板可下载),工具,2025/09/08,南京哈莫领创科技有限公司,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hamo.morse&channelId=SHARE&source=appshare
知职,手机和平板,社交,2025/09/08,指码点动科技（来宾）有限公司,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=uni.UNI7029B4B.zhizhi&channelId=SHARE&source=appshare
轻思,手机(平板可下载),工具,2025/09/08,泉州丰泽邦邦两拳科技有限公司,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.QZFZ.BBLQ.QingSi&channelId=SHARE&source=appshare
算盘计算器,手机和平板,工具,2025/09/08,丁姜齐,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.abacus&channelId=SHARE&source=appshare
我是销售,手机(平板可下载),工具,2025/09/08,张越,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=zy.woshixiaoshou.com&channelId=SHARE&source=appshare
云耕,手机和平板,工具,2025/09/08,郝从顺,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.biustack.yungrow&channelId=SHARE&source=appshare
截图取字翻译器,手机(平板可下载),工具,2025/09/08,中山市柒幺柒智能科技有限公司,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.badnew.badcutocrenghos&channelId=SHARE&source=appshare
记忆灵犀,手机(平板可下载),工具,2025/09/08,张超,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zhangchao.memomaster&channelId=SHARE&source=appshare
简赞,手机、平板和电脑,效率,2025/09/08,珠海市伊美众软件科技有限公司,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.mezeron.jianzan.ylh.emp&channelId=SHARE&source=appshare
大北农通,手机和平板,商务,2025/09/08,北京大北农数智科技有限公司,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.dbn.znthar&channelId=SHARE&source=appshare
设计模式学习宝典,手机和平板,教育,2025/09/08,李锦成,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.ljcljc.designpattern&channelId=SHARE&source=appshare
布丁单词,手机(平板可下载),教育,2025/09/08,广州在宇科技有限公司,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fdopibp.zwvpant&channelId=SHARE&source=appshare
Python语言学习,手机和平板,教育,2025/09/08,深圳市小海鱼科技有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.itfirer.pythonprogram.hos&channelId=SHARE&source=appshare
MoticNet,手机、平板和电脑,教育,2025/09/08,麦克奥迪实业集团有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.motic.moticnet&channelId=SHARE&source=appshare
MotiConnect,手机、平板和电脑,教育,2025/09/08,麦克奥迪实业集团有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.motic.connect&channelId=SHARE&source=appshare
snapBox图片编辑,手机(平板可下载),工具,2025/09/08,贵阳恒芮通科技有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=xuanyue.acter.feys&channelId=SHARE&source=appshare
今日餐食,手机(平板可下载),美食,2025/09/08,软通动力信息技术（集团）股份有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.isoftstone.foodmenu&channelId=SHARE&source=appshare
追光记,手机(平板可下载),商务,2025/09/08,莫仁杰,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.mrjguet.dream&channelId=SHARE&source=appshare
极简百工,手机(平板可下载),工具,2025/09/08,王硕杰,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.atomicservice.huawei&channelId=SHARE&source=appshare
滑屏连点器,手机(平板可下载),工具,2025/09/08,惠州市速点科技有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sudian.sdswipclickhos&channelId=SHARE&source=appshare
国家医保服务平台,手机和平板,生活服务,2025/09/08,国家医疗保障局,,https://appgallery.huawei.com/app/detail?id=cn.hsa.app.hos&channelId=SHARE&source=appshare
青岛银行,手机(平板可下载),金融理财,2025/09/08,青岛银行股份有限公司,,https://appgallery.huawei.com/app/detail?id=com.qdccb.hmbank&channelId=SHARE&source=appshare
455乐园,手机(平板可下载),工具,2025/09/08,广州吾游盒信息服务有限公司,09/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=jzfd.mgnrshlgi.com&channelId=SHARE&source=appshare
食物管家,手机和平板,工具,2025/09/08,李锦成,09/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.ljcljc.food&channelId=SHARE&source=appshare
Java学习小册,手机和平板,教育,2025/09/08,李锦成,09/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.ljcljc.javalearn&channelId=SHARE&source=appshare
白拿壁纸,手机(平板可下载),主题,2025/09/08,广州易动维信息科技有限公司,09/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.emove.hmimage&channelId=SHARE&source=appshare
播音主持应考研习站,手机(平板可下载),教育,2025/09/07,长沙聚优教育咨询有限公司,09/19新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qxhms.announcerjy&channelId=SHARE&source=appshare
Artwork绘画,手机(平板可下载),艺术与设计,2025/09/07,贵阳恒芮通科技有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=naiyou.android.bizzhi&channelId=SHARE&source=appshare
护眼屏幕,手机(平板可下载),工具,2025/09/07,湖北梓铭科技有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zhiming.xzmsafescreenhos&channelId=SHARE&source=appshare
家庭小黑板,手机(平板可下载),工具,2025/09/07,刘国强,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.tj564.homeboard&channelId=SHARE&source=appshare
诗歌本阅读,手机(平板可下载),工具,2025/09/07,贵阳泷恙科技有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=lykjs.sgbp.fsde&channelId=SHARE&source=appshare
有壳截图,手机(平板可下载),拍摄美化,2025/09/06,南京哈莫领创科技有限公司,09/17新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hamo.shotcase&channelId=SHARE&source=appshare
双语识字卡,手机(平板可下载),儿童,2025/09/06,黄达鑫,09/15新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.ktyx.bilingualcard&channelId=SHARE&source=appshare
房贷计算器LPR,手机、平板和电脑,工具,2025/09/06,上海京回网络科技有限公司,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jingback.hm.fangdai&channelId=SHARE&source=appshare
经纬,手机(平板可下载),拍摄美化,2025/09/06,南京今日水印相机网络科技有限公司,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.njjr.syxjhm&channelId=SHARE&source=appshare
尺子AR测距,手机(平板可下载),工具,2025/09/06,武汉一晟网络科技有限公司,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fctech.measurehm&channelId=SHARE&source=appshare
AI绘画画家专业版,手机(平板可下载),工具,2025/09/06,北京德裳网络科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.deshang1.hmapp&channelId=SHARE&source=appshare
唐诗吟诵,手机和平板,教育,2025/09/06,苏健福,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sss.tangshi&channelId=SHARE&source=appshare
瘦身计划,手机(平板可下载),运动健康,2025/09/06,珠海欢悦科技中心（个人独资）,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zuzi.fit.huawei&channelId=SHARE&source=appshare
药直通,手机(平板可下载),购物,2025/09/06,江苏药直通科技有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xiuzheng.yaozhitong&channelId=SHARE&source=appshare
图片像素PS照片压缩器,手机和平板,工具,2025/09/06,南京海豆科技有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.photo.hdtechhm&channelId=SHARE&source=appshare
GPS实时海拔测量,手机(平板可下载),工具,2025/09/06,郑州朦缤何网络科技有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.mbh.shishihaiba_hm&channelId=SHARE&source=appshare
智办,手机和平板,商务,2025/09/06,重庆猫扑网络科技有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=uni.app.UNI43F7D05&channelId=SHARE&source=appshare
光手助手,手机(平板可下载),工具,2025/09/06,广西维德计算机系统有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=wede.gush.zusoo&channelId=SHARE&source=appshare
壁纸家,手机、平板和电脑,主题,2025/09/06,辽宁流年科技有限公司,09/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.liunian.bizhidaquan&channelId=SHARE&source=appshare
动图制作,手机(平板可下载),拍摄美化,2025/09/06,武汉曼衍科技有限公司,09/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.manyanai.gifmaker.myhm&channelId=SHARE&source=appshare
天气快报,手机和平板,生活服务,2025/09/06,厦门丛恩科技有限公司,09/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hm.congen.next.weather&channelId=SHARE&source=appshare
心情宝录,手机(平板可下载),休闲娱乐,2025/09/06,中软国际科技服务有限公司,09/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.xinqingbaolu&channelId=SHARE&source=appshare
搞笑段子,手机(平板可下载),休闲娱乐,2025/09/06,中软国际科技服务有限公司,09/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.gaoxiaoduanzi&channelId=SHARE&source=appshare
查岗神器,手机和平板,出行导航,2025/09/06,北京才牛图科技有限公司,09/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=net.beido.hmtrackyou&channelId=SHARE&source=appshare
点记,手机(平板可下载),效率,2025/09/06,张棣,09/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.dicoder.dianji&channelId=SHARE&source=appshare
